order_id,product,client_id,order_date,money_spent
1,a,473,4/2/2017,14.8
1,b,473,4/2/2017,112.47
1,c,473,4/2/2017,235.69
1,b,473,4/2/2017,28.38
2,a,282,2/17/2017,8.36
2,c,282,2/17/2017,117.72
2,b,282,2/17/2017,15.84
2,a,282,2/17/2017,6.71
3,a,220,2/25/2017,138.57
3,c,220,2/25/2017,36.78
3,a,220,2/25/2017,1.28
3,a,220,2/25/2017,0.83
3,a,220,2/25/2017,167.41
4,a,376,3/2/2017,179.38
4,b,376,3/2/2017,227.14
4,a,376,3/2/2017,71.92
5,a,311,4/8/2017,69.29
5,a,311,4/8/2017,27.84
5,a,311,4/8/2017,28.63
5,b,311,4/8/2017,2.75
5,a,311,4/8/2017,13.83
5,a,311,4/8/2017,25.22
5,c,311,4/8/2017,28.18
6,a,173,1/18/2017,40.95
6,b,173,1/18/2017,378.37
7,a,468,1/9/2017,26.87
7,c,468,1/9/2017,50.53
7,b,468,1/9/2017,17.8
7,a,468,1/9/2017,35.75
7,b,468,1/9/2017,69.33
7,a,468,1/9/2017,42.67
8,c,356,3/23/2017,345.64
8,b,356,3/23/2017,179.84
8,a,356,3/23/2017,160.95
8,a,356,3/23/2017,22.02
9,a,322,3/29/2017,159.9
9,a,322,3/29/2017,56.6
9,a,322,3/29/2017,198.62
9,a,322,3/29/2017,130.06
9,a,322,3/29/2017,58.43
9,b,322,3/29/2017,16.62
10,b,495,3/24/2017,59.96
10,a,495,3/24/2017,8.53
10,a,495,3/24/2017,160.64
10,c,495,3/24/2017,184.95
10,a,495,3/24/2017,32.89
10,a,495,3/24/2017,77.65
10,b,495,3/24/2017,244.05
11,c,194,3/16/2017,431.51
11,c,194,3/16/2017,36.8
11,a,194,3/16/2017,179.27
11,b,194,3/16/2017,21.91
12,a,45,3/28/2017,43.57
12,a,45,3/28/2017,149.5
12,b,45,3/28/2017,94.87
12,a,45,3/28/2017,325.72
13,a,250,4/10/2017,7.19
13,b,250,4/10/2017,100.76
13,c,250,4/10/2017,141.51
13,a,250,4/10/2017,7.88
13,a,250,4/10/2017,66.3
14,a,237,3/23/2017,47.62
14,a,237,3/23/2017,45.79
14,a,237,3/23/2017,23.47
14,c,237,3/23/2017,0.7
14,a,237,3/23/2017,7.56
14,a,237,3/23/2017,121.12
14,a,237,3/23/2017,4.96
15,c,90,3/8/2017,84.68
15,a,90,3/8/2017,2.46
15,c,90,3/8/2017,139.92
16,a,503,3/17/2017,237.28
16,a,503,3/17/2017,184.03
16,a,503,3/17/2017,26.37
16,b,503,3/17/2017,30.07
16,a,503,3/17/2017,95.43
17,a,142,2/27/2017,116.14
17,a,142,2/27/2017,37.33
19,a,338,2/2/2017,56.62
19,b,338,2/2/2017,7.29
19,a,338,2/2/2017,0.84
20,a,384,3/18/2017,123.91
20,a,384,3/18/2017,26.5
20,a,384,3/18/2017,6.83
20,c,384,3/18/2017,58.39
20,b,384,3/18/2017,184.5
20,a,384,3/18/2017,233.13
21,a,136,1/7/2017,103.9
21,a,136,1/7/2017,34.09
21,a,136,1/7/2017,65.06
21,c,136,1/7/2017,91.65
21,b,136,1/7/2017,57.52
22,a,2,2/2/2017,29.11
23,a,326,2/20/2017,164.7
23,a,326,2/20/2017,14.08
23,c,326,2/20/2017,13.88
23,b,326,2/20/2017,60.66
23,a,326,2/20/2017,81.63
23,a,326,2/20/2017,54.73
23,b,326,2/20/2017,19.6
24,a,474,2/10/2017,1.94
24,b,474,2/10/2017,300.41
24,b,474,2/10/2017,25.45
24,a,474,2/10/2017,3.88
24,b,474,2/10/2017,50.48
24,a,474,2/10/2017,75.77
24,a,474,2/10/2017,187.27
25,b,466,3/19/2017,22.23
25,a,466,3/19/2017,82.88
25,b,466,3/19/2017,23.25
25,b,466,3/19/2017,76.05
26,c,487,1/12/2017,54.65
26,c,487,1/12/2017,40.81
26,c,487,1/12/2017,103.12
26,a,487,1/12/2017,68.14
26,a,487,1/12/2017,343.21
26,b,487,1/12/2017,87.74
26,a,487,1/12/2017,29.04
26,a,487,1/12/2017,47.93
26,a,487,1/12/2017,42.42
26,b,487,1/12/2017,85.2
27,a,520,1/24/2017,8.3
27,b,520,1/24/2017,51.31
27,a,520,1/24/2017,350.47
28,a,297,3/12/2017,228.74
28,b,297,3/12/2017,125.22
28,b,297,3/12/2017,67.79
28,a,297,3/12/2017,12.63
29,c,75,3/21/2017,9.06
29,b,75,3/21/2017,97.59
29,b,75,3/21/2017,171.97
30,a,467,3/11/2017,24.57
31,a,343,2/24/2017,10.89
31,b,343,2/24/2017,152.24
31,a,343,2/24/2017,21.53
32,a,297,2/28/2017,52.38
32,c,297,2/28/2017,30.7
32,a,297,2/28/2017,154.39
32,a,297,2/28/2017,4
32,b,297,2/28/2017,17.47
32,b,297,2/28/2017,19.55
33,b,47,1/9/2017,27.23
33,a,47,1/9/2017,166.15
33,a,47,1/9/2017,116.6
33,a,47,1/9/2017,24.65
33,a,47,1/9/2017,171.12
34,b,324,1/27/2017,151.15
34,b,324,1/27/2017,178.17
35,c,132,1/25/2017,20.8
35,a,132,1/25/2017,46.01
35,a,132,1/25/2017,24.94
35,c,132,1/25/2017,21.54
35,c,132,1/25/2017,34.66
36,a,513,2/27/2017,18.33
36,b,513,2/27/2017,14.02
36,a,513,2/27/2017,58.75
36,a,513,2/27/2017,174.91
36,c,513,2/27/2017,123.99
37,a,22,4/3/2017,140.28
37,a,22,4/3/2017,73.49
37,b,22,4/3/2017,79.95
37,b,22,4/3/2017,128.89
37,a,22,4/3/2017,87.84
37,a,22,4/3/2017,73.91
38,b,558,4/6/2017,132.36
38,a,558,4/6/2017,77.86
38,b,558,4/6/2017,51.82
38,a,558,4/6/2017,65.17
38,a,558,4/6/2017,31.78
38,a,558,4/6/2017,96.83
38,a,558,4/6/2017,252.38
39,a,397,3/21/2017,3.84
39,c,397,3/21/2017,17.87
39,b,397,3/21/2017,11.13
40,a,70,1/26/2017,174.31
40,b,70,1/26/2017,92.71
40,b,70,1/26/2017,34.94
40,b,70,1/26/2017,118.31
40,a,70,1/26/2017,132.68
40,a,70,1/26/2017,24.27
41,a,429,1/28/2017,15.02
41,a,429,1/28/2017,54.87
41,a,429,1/28/2017,53.43
41,c,429,1/28/2017,88.33
41,a,429,1/28/2017,336.19
41,b,429,1/28/2017,9.07
42,c,403,1/13/2017,14.18
42,b,403,1/13/2017,38.13
42,c,403,1/13/2017,29.56
42,a,403,1/13/2017,30.63
42,a,403,1/13/2017,17.57
43,b,199,3/3/2017,308.47
43,a,199,3/3/2017,8.1
43,b,199,3/3/2017,68.37
43,a,199,3/3/2017,315.68
44,b,541,4/3/2017,19.05
44,c,541,4/3/2017,30.3
44,c,541,4/3/2017,120.32
44,c,541,4/3/2017,103.66
44,a,541,4/3/2017,69.43
45,a,330,4/7/2017,306.62
45,b,330,4/7/2017,57.74
45,c,330,4/7/2017,43.29
45,a,330,4/7/2017,151.01
45,a,330,4/7/2017,4.64
45,a,330,4/7/2017,19.69
45,a,330,4/7/2017,48.79
46,b,496,2/23/2017,31.76
46,a,496,2/23/2017,273.72
47,b,59,3/7/2017,23.51
47,b,59,3/7/2017,99.76
47,a,59,3/7/2017,86.87
48,a,351,3/7/2017,4.51
48,b,351,3/7/2017,123.56
48,a,351,3/7/2017,107.18
48,c,351,3/7/2017,38.36
49,b,365,1/24/2017,45.05
49,a,365,1/24/2017,101.54
49,a,365,1/24/2017,205.72
49,a,365,1/24/2017,41.96
49,a,365,1/24/2017,4.64
49,a,365,1/24/2017,10.5
49,a,365,1/24/2017,4.1
50,a,203,1/30/2017,37.26
50,a,203,1/30/2017,59.85
50,a,203,1/30/2017,205.84
50,a,203,1/30/2017,35.25
50,b,203,1/30/2017,178.4
51,a,133,2/24/2017,5.21
51,a,133,2/24/2017,102.05
51,a,133,2/24/2017,16.85
52,a,144,4/4/2017,27.71
52,c,144,4/4/2017,28.73
52,c,144,4/4/2017,51.98
52,a,144,4/4/2017,53.64
52,b,144,4/4/2017,15.55
52,b,144,4/4/2017,153.72
52,a,144,4/4/2017,262.94
52,a,144,4/4/2017,92.43
52,a,144,4/4/2017,54.96
52,a,144,4/4/2017,300.29
52,a,144,4/4/2017,18.37
52,a,144,4/4/2017,41.88
52,c,144,4/4/2017,49.8
53,a,418,2/5/2017,88.63
53,a,418,2/5/2017,15.82
53,a,418,2/5/2017,36.41
53,a,418,2/5/2017,15.93
53,a,418,2/5/2017,38.37
53,a,418,2/5/2017,180.56
53,b,418,2/5/2017,4.23
54,b,452,2/1/2017,10.67
54,a,452,2/1/2017,160.92
54,a,452,2/1/2017,21.67
54,a,452,2/1/2017,55.19
54,b,452,2/1/2017,54.27
54,c,452,2/1/2017,241.55
55,a,494,1/25/2017,77.95
55,a,494,1/25/2017,240.61
55,a,494,1/25/2017,28.04
55,a,494,1/25/2017,31.78
55,a,494,1/25/2017,195.15
55,a,494,1/25/2017,55.3
55,b,494,1/25/2017,26.18
55,b,494,1/25/2017,199.91
55,c,494,1/25/2017,113.43
56,b,163,3/1/2017,148.29
57,a,340,3/17/2017,19.14
57,a,340,3/17/2017,56.75
57,b,340,3/17/2017,122.96
57,a,340,3/17/2017,11.07
58,a,238,2/15/2017,34.91
58,a,238,2/15/2017,44.27
58,b,238,2/15/2017,440.2
58,a,238,2/15/2017,162.61
58,c,238,2/15/2017,176.34
59,a,181,1/16/2017,11.11
60,b,42,3/2/2017,81.86
